Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
6913	0.280631	6885	0.060712	675	0.386667	5527	0.250226	0.214621	1690	0.248521	0.249061	1774	0.271139	0.000013	1795	0.290808	0.000019	1654	0.312576	58.547839	5527	0.250226	0.200100	0.218246	
6897	0.314775	7034	0.058004	662	0.317221	5407	0.259294	0.214621	1772	0.277652	0.249061	1761	0.319137	0.000013	1702	0.333725	0.000019	1662	0.330325	58.547839	5407	0.259294	0.209550	0.218239	
6976	0.285120	6789	0.061570	693	0.354978	5542	0.235114	0.214621	1774	0.256483	0.249061	1789	0.262158	0.000013	1736	0.307028	0.000019	1677	0.317233	58.547839	5542	0.235114	0.197800	0.218224	
6947	0.280265	6850	0.066131	660	0.380303	5543	0.241566	0.214621	1722	0.256098	0.249061	1729	0.274725	0.000013	1770	0.285311	0.000019	1726	0.304751	58.547839	5543	0.241566	0.199500	0.218210	
6904	0.303737	6889	0.058644	703	0.389758	5504	0.248910	0.214621	1748	0.271167	0.249061	1706	0.310082	0.000013	1725	0.288696	0.000019	1725	0.345507	58.547839	5504	0.248910	0.207250	0.218202	
6943	0.290220	6999	0.051150	644	0.355590	5414	0.267085	0.214621	1730	0.259538	0.249061	1785	0.287955	0.000014	1692	0.299054	0.000019	1736	0.314516	58.547839	5414	0.267085	0.202400	0.218190	
6903	0.295379	6849	0.059717	653	0.341501	5595	0.250581	0.214621	1779	0.270939	0.249061	1692	0.296099	0.000014	1735	0.321614	0.000019	1697	0.293459	58.547839	5595	0.250581	0.203650	0.218180	
6918	0.308471	6845	0.064427	684	0.407895	5553	0.220061	0.214621	1761	0.286769	0.249061	1778	0.309336	0.000014	1700	0.313529	0.000019	1679	0.325194	58.547839	5553	0.220061	0.203800	0.218169	
6913	0.282511	6820	0.063050	677	0.336780	5590	0.256530	0.214621	1737	0.267127	0.249061	1752	0.272260	0.000014	1662	0.274970	0.000019	1762	0.314983	58.547839	5590	0.256530	0.202250	0.218157	
6906	0.332175	6828	0.058729	667	0.368816	5599	0.212717	0.214621	1700	0.286471	0.249061	1766	0.305210	0.000014	1684	0.366983	0.000019	1756	0.370159	58.547839	5599	0.212717	0.206600	0.218149	
6821	0.260959	6977	0.072667	674	0.369436	5528	0.238784	0.214621	1764	0.259070	0.249061	1740	0.270115	0.000014	1590	0.247799	0.000019	1727	0.265779	58.547839	5528	0.238784	0.192800	0.218130	
6785	0.260870	7052	0.062252	713	0.343619	5450	0.259266	0.214621	1703	0.257780	0.249061	1784	0.286435	0.000014	1679	0.247767	0.000019	1619	0.249537	58.547839	5450	0.259266	0.193350	0.218111	
6785	0.256006	6891	0.063416	686	0.348397	5638	0.254346	0.214621	1786	0.242441	0.249061	1709	0.268578	0.000014	1595	0.246395	0.000019	1695	0.266667	58.547839	5638	0.254346	0.192350	0.218092	
6707	0.264947	7010	0.060770	713	0.375877	5570	0.245422	0.214621	1791	0.258515	0.249061	1707	0.288811	0.000014	1625	0.238154	0.000019	1584	0.273990	58.547839	5570	0.245422	0.191900	0.218073	
6909	0.302938	6825	0.058608	694	0.351585	5572	0.225951	0.214621	1798	0.282536	0.249061	1700	0.273529	0.000014	1680	0.316071	0.000019	1731	0.340266	58.547839	5572	0.225951	0.199800	0.218060	
6804	0.273222	6950	0.061151	689	0.368650	5557	0.237358	0.214621	1707	0.264206	0.249061	1759	0.285389	0.000014	1671	0.263914	0.000019	1667	0.278944	58.547839	5557	0.237358	0.192850	0.218041	
6853	0.280899	6842	0.065478	690	0.339130	5615	0.226892	0.214621	1711	0.258328	0.249061	1702	0.286722	0.000014	1785	0.275070	0.000019	1655	0.304532	58.547839	5615	0.226892	0.194050	0.218023	
6781	0.277835	6821	0.068758	698	0.348138	5700	0.256667	0.214621	1667	0.272346	0.249061	1673	0.294680	0.000014	1702	0.262045	0.000019	1739	0.282346	58.547839	5700	0.256667	0.202950	0.218012	
6768	0.277039	7050	0.062837	695	0.320863	5487	0.276289	0.214621	1668	0.269784	0.249061	1676	0.286993	0.000014	1742	0.256028	0.000019	1682	0.296076	58.547839	5487	0.276289	0.202850	0.218001	
6889	0.285963	6904	0.063731	700	0.357143	5507	0.260033	0.214621	1720	0.291860	0.249061	1804	0.287694	0.000014	1708	0.261124	0.000019	1657	0.303561	58.547839	5507	0.260033	0.204600	0.217991	
6856	0.263711	6913	0.066397	706	0.356941	5525	0.261900	0.214621	1725	0.293333	0.249061	1776	0.270270	0.000014	1663	0.232111	0.000019	1692	0.257683	58.547839	5525	0.261900	0.198300	0.217977	
6658	0.246470	6980	0.061175	713	0.318373	5649	0.247123	0.214621	1709	0.236396	0.249061	1705	0.267449	0.000014	1673	0.236701	0.000019	1571	0.245067	58.547839	5649	0.247123	0.184550	0.217952	
6504	0.213253	7153	0.055082	694	0.337176	5649	0.223402	0.214621	1810	0.209945	0.249061	1800	0.248333	0.000014	1402	0.190442	0.000019	1492	0.196381	58.547839	5649	0.223402	0.163850	0.217913	
6873	0.290121	6914	0.062916	693	0.323232	5520	0.240217	0.214621	1757	0.250427	0.249061	1759	0.277999	0.000012	1618	0.303461	0.000016	1739	0.330075	58.547839	5520	0.240217	0.198950	0.217899	
