Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
6649	0.432396	7103	0.066169	709	0.393512	5539	0.324427	0.233422	1717	0.259755	0.274326	1769	0.275297	0.000027	1472	0.201766	0.000001	1691	0.972797	36.803011	5539	0.324427	0.271050	0.222571	
6346	0.416483	7243	0.065304	699	0.347639	5712	0.360469	0.233422	1739	0.225417	0.274326	1771	0.256352	0.000088	1057	0.081362	0.000001	1779	0.961776	36.803011	5712	0.360469	0.270900	0.222607	
6430	0.388802	7103	0.067718	679	0.304860	5788	0.344160	0.233422	1783	0.224341	0.274326	1754	0.213227	0.000071	1080	0.075000	0.000001	1813	0.907336	36.803011	5788	0.344160	0.259000	0.222635	
6517	0.396501	7037	0.070058	743	0.375505	5703	0.322813	0.233422	1807	0.244604	0.274326	1758	0.255973	0.000066	1134	0.099647	0.000002	1818	0.868537	36.803011	5703	0.322813	0.259850	0.222663	
6557	0.379899	6975	0.063082	737	0.348711	5731	0.335718	0.233422	1794	0.244147	0.274326	1794	0.273133	0.000046	1217	0.127362	0.000004	1752	0.803653	36.803011	5731	0.335718	0.255600	0.222689	
6550	0.350534	7090	0.065585	698	0.375358	5662	0.320735	0.233422	1740	0.232759	0.274326	1759	0.249574	0.000037	1252	0.131789	0.000005	1799	0.715397	36.803011	5662	0.320735	0.241950	0.222703	
6561	0.359396	7148	0.063794	740	0.344595	5551	0.350748	0.233422	1730	0.271098	0.274326	1842	0.286102	0.000036	1255	0.152191	0.000006	1734	0.675317	36.803011	5551	0.350748	0.250800	0.222724	
6816	0.308539	7001	0.065562	694	0.344380	5489	0.319184	0.233422	1816	0.230176	0.274326	1750	0.256571	0.000019	1468	0.194823	0.000007	1782	0.533109	36.803011	5489	0.319184	0.227650	0.222728	
6834	0.319432	6934	0.062013	667	0.325337	5565	0.345373	0.233422	1703	0.233118	0.274326	1773	0.248167	0.000016	1632	0.250000	0.000009	1726	0.543453	36.803011	5565	0.345373	0.237600	0.222739	
6853	0.310521	6921	0.066609	637	0.386185	5589	0.316336	0.233422	1720	0.235465	0.274326	1729	0.231926	0.000016	1609	0.248602	0.000010	1795	0.513649	36.803011	5589	0.316336	0.230150	0.222745	
7000	0.272571	6802	0.062041	686	0.311953	5512	0.340167	0.233422	1776	0.247748	0.274326	1717	0.248690	0.000012	1663	0.304871	0.000019	1844	0.289588	36.803011	5512	0.340167	0.220950	0.222744	
6308	0.228123	7163	0.068407	770	0.312987	5759	0.334259	0.233422	1825	0.243288	0.274326	1812	0.241170	0.000011	1735	0.302594	0.000235	936	0.035256	36.803011	5759	0.334259	0.204750	0.222730	
6401	0.241681	7217	0.062076	724	0.400552	5658	0.325380	0.233422	1822	0.240395	0.274326	1857	0.232633	0.000010	1711	0.373466	0.000231	1011	0.037587	36.803011	5658	0.325380	0.206300	0.222718	
6412	0.220992	7195	0.068937	733	0.346521	5660	0.356890	0.233422	1752	0.233447	0.274326	1863	0.243156	0.000013	1751	0.272987	0.000128	1046	0.073614	36.803011	5660	0.356890	0.209350	0.222708	
6590	0.259332	7104	0.062078	664	0.402108	5642	0.320985	0.233422	1759	0.226833	0.274326	1848	0.259199	0.000011	1832	0.382096	0.000096	1151	0.113814	36.803011	5642	0.320985	0.211400	0.222699	
6455	0.215182	7152	0.061941	707	0.345120	5686	0.341365	0.233422	1812	0.225717	0.274326	1779	0.232715	0.000014	1684	0.258907	0.000065	1180	0.110169	36.803011	5686	0.341365	0.200850	0.222683	
6644	0.241421	7095	0.056519	709	0.330042	5552	0.353026	0.233422	1768	0.236425	0.274326	1777	0.247608	0.000012	1758	0.298066	0.000044	1341	0.165548	36.803011	5552	0.353026	0.209950	0.222673	
6591	0.255045	7091	0.070653	709	0.368124	5609	0.334819	0.233422	1775	0.245070	0.274326	1741	0.259621	0.000011	1765	0.326346	0.000043	1310	0.166412	36.803011	5609	0.334819	0.216050	0.222668	
6636	0.425859	7042	0.061346	676	0.356509	5646	0.345377	0.233422	1747	0.253578	0.274326	1721	0.269611	0.000000	1734	0.956171	0.000038	1434	0.182008	36.803011	5646	0.345377	0.272450	0.222705	
